word=house yard	pleasantness=0.062	attention=0.135	sensitivity=0	aptitude=0.161	polarity=0.119
word=take holiday	pleasantness=0.847	attention=0.738	sensitivity=0	aptitude=0.908	polarity=0.831
word=spend much money	pleasantness=-0.086	attention=0	sensitivity=0	aptitude=-0.072	polarity=-0.053
word=democratic	pleasantness=0.151	attention=-0.094	sensitivity=0	aptitude=0	polarity=0.082
word=hold glass	pleasantness=0	attention=0.08	sensitivity=0.016	aptitude=0.098	polarity=0.054
word=wind	pleasantness=-0.057	attention=-0.04	sensitivity=0.011	aptitude=-0.143	polarity=-0.057
word=wine	pleasantness=0.161	attention=-0.146	sensitivity=0.031	aptitude=-0.104	polarity=0.057
word=origin	pleasantness=0.102	attention=0.142	sensitivity=-0.081	aptitude=0.224	polarity=0.129
word=feedback	pleasantness=-0.058	attention=0.138	sensitivity=-0.065	aptitude=0.259	polarity=0.091
word=bad grade	pleasantness=-0.3	attention=-0.031	sensitivity=-0.096	aptitude=-0.056	polarity=-0.14
word=ocean tide	pleasantness=0	attention=0	sensitivity=-0.058	aptitude=0.2	polarity=0.047
word=vary	pleasantness=0.295	attention=0.072	sensitivity=0	aptitude=0.136	polarity=0.168
word=get lose	pleasantness=-0.088	attention=-0.106	sensitivity=0.047	aptitude=-0.137	polarity=-0.055
word=foodstuff	pleasantness=0.055	attention=0	sensitivity=0.028	aptitude=0.089	polarity=0.039
word=sulk	pleasantness=0.056	attention=0.105	sensitivity=0.786	aptitude=-0.681	polarity=-0.435
word=dry skin	pleasantness=0.048	attention=-0.006	sensitivity=0.011	aptitude=0.064	polarity=0.036
word=sing well	pleasantness=0.814	attention=0.773	sensitivity=0	aptitude=0	polarity=0.529
word=get lost	pleasantness=-0.027	attention=0.13	sensitivity=-0.057	aptitude=0.134	polarity=0.06
word=admirably	pleasantness=0.575	attention=0.636	sensitivity=-0.268	aptitude=0.318	polarity=0.42
word=lovingly	pleasantness=0.494	attention=0.673	sensitivity=-0.269	aptitude=0.25	polarity=0.383
word=fit	pleasantness=0.867	attention=0	sensitivity=0	aptitude=0.88	polarity=0.582
word=look for	pleasantness=0.43	attention=0.657	sensitivity=-0.285	aptitude=0.244	polarity=0.349
word=backpack	pleasantness=0.042	attention=-0.056	sensitivity=0	aptitude=0	polarity=0.033
word=church part	pleasantness=0	attention=0.215	sensitivity=0.046	aptitude=0.228	polarity=0.132
word=courageous	pleasantness=0	attention=0	sensitivity=0	aptitude=0.811	polarity=0.27
word=settle disagreement	pleasantness=-0.055	attention=-0.016	sensitivity=-0.045	aptitude=-0.183	polarity=-0.089
word=fig	pleasantness=0.12	attention=0	sensitivity=0.022	aptitude=0	polarity=0.033
word=happy family	pleasantness=0.937	attention=0.878	sensitivity=0	aptitude=0.738	polarity=0.851
word=lyme disease	pleasantness=-0.436	attention=-0.143	sensitivity=-0.068	aptitude=-0.365	polarity=-0.242
word=hidden	pleasantness=0.039	attention=-0.141	sensitivity=-0.145	aptitude=0.118	polarity=0.051
