Concepts,Anger,Disgust,Joy,Sad,Surprise ,Fear
end_marriage,0,0,0,1,0,0
hire_attorney,0,0,0,0,0,1
rich,0,0,1,0,0,0
end_relationship,0,0,0,1,0,0
child_suffer,0,0,0,1,0,0
two_person,0,0,1,0,0,0
stress,0,0,0,0,0,1
legality,0,0,1,0,0,0
end_argument,0,0,1,0,0,0
hire_lawyer,0,0,0,0,0,1
spouse,0,0,1,0,0,0
cheat_spouse,0,0,0,1,0,0
wife,0,0,1,0,0,0
tear,0,0,0,1,0,0
freedom,0,0,1,0,0,0
marry,0,0,1,0,0,0
cry,0,0,0,1,0,0
marriage,0,0,1,0,0,0
argue,1,0,0,0,0,0
locker,0,0,1,0,0,0
storage_place,0,0,1,0,0,0
storage,0,0,1,0,0,0
dress_room,0,0,1,0,0,0
door,0,0,1,0,0,0
combination,0,0,0,0,1,0
safe,0,0,1,0,0,0
metal_box,0,0,1,0,0,0
box,0,0,1,0,0,0
locker_room,0,0,1,0,0,0
storage_container,0,0,1,0,0,0
police_station,0,0,0,0,0,1
place,0,0,1,0,0,0
wand,0,0,1,0,0,0
rod,1,0,0,0,0,0
twig,0,0,1,0,0,0
magic,0,0,1,0,0,0
wank,0,0,1,0,0,0
ejaculation,0,0,1,0,0,0
strong,0,0,1,0,0,0
expensive,0,0,1,0,0,0
want,0,0,1,0,0,0
neediness,0,0,0,1,0,0
wish,0,0,1,0,0,0
desirable,0,0,1,0,0,0
yearn,0,0,0,1,0,0
damn,1,0,0,0,0,0
need,0,0,0,1,0,0
get_something,0,0,0,0,1,0
must,0,0,1,0,0,0
travel,0,0,1,0,0,0
money,0,0,1,0,0,0
get_lose,0,0,1,0,0,0
go_trip,0,0,1,0,0,0
go_elsewhere,0,0,1,0,0,0
mean_transportation,0,0,0,1,0,0
buy_ticket,0,0,1,0,0,0
arrive_destination,0,0,1,0,0,0
take_picture,0,0,1,0,0,0
