dress	133	5.87	0.99	4.67	1.72	4.6	1.64	67
drown	591	1.96	1.72	6.68	2.64	2.76	1.98	3
dummy	732	3	1.34	4.38	2.18	3.48	1.86	3
dump	733	3.71	2.03	4.38	2.48	4.05	1.8	4
dustpan	555	4.24	1.74	3.36	1.82	5.4	1.68	.
earth	134	6.79	1.72	4.08	2.1	6.69	2.1	150
easy	734	7.09	2.11	5.55	2.39	7.18	1.59	125
easygoing	135	6.75	1.42	4	2.56	5.08	1.83	1
eat	136	8	1.32	6.6	2.29	6	2.17	61
ecstasy	735	8.14	1.13	7.82	1.44	7.1	1.79	6
education	137	6.55	1.36	5.6	2.44	5.85	1.81	214
egg	736	5.11	1.63	3.63	2.54	4.26	2.38	12
elated	138	7.47	1.51	6.2	2.11	5.53	2.72	3
elbow	737	4.9	0.45	3.7	2	4.8	1.77	10
elegant	139	7.08	1.56	4.92	2.97	5.5	2.35	14
elevator	738	5.1	0.64	3.57	2.09	4	1.59	12
embarrassed	140	3.93	2.12	5.87	2.42	3.47	2.67	8
embattled	141	5	2.16	5.9	2.23	5.1	2.38	1
employment	147	5.73	2.05	5.33	2.02	4.6	1.59	47
engaged	143	7.33	1.5	6.07	1.91	6.2	1.66	47
engine	148	5.27	1.49	4.93	2.19	5.13	1.41	50
enjoyment	145	7.7	1.22	5.7	2.7	6.35	1.42	21
ennui	146	5.17	1.64	3.92	2.43	5	1.65	.
enraged	149	2.3	1.64	7.9	2.13	7.7	2.45	1
erotic	512	8.16	1.07	7.72	1.81	7.04	1.9	8
errand	150	4.36	1.78	4	1.91	5.62	1.45	7
event	740	6.41	1.92	5.59	2.52	5.73	2.03	81
evil	741	4.33	2.7	6.56	2.36	6.17	1.58	72
excellence	151	8.3	0.82	4.7	2.26	7.4	2.17	15
excitement	152	6.87	2.36	6.93	2.43	5.6	1.84	32
excuse	153	3.82	1.88	4.88	2.64	3.71	2.31	27
execution	154	3.27	2.46	5.53	2.77	4.27	2.22	15
exercise	155	6.93	1.91	7.13	2.2	6.07	2.74	58
fabric	742	5.21	1.44	3.95	1.82	4.79	1.44	15
face	556	6.12	1.76	4.76	2.37	5.28	1.51	371
failure	156	2.27	1.22	4	2.54	2.67	1.95	89
fall	743	3.86	2.22	4.81	2.54	4.29	2.15	147
false	744	3.24	1.58	3.27	2.23	4.38	1.66	29
fame	157	7.92	1.31	5.17	3.01	6.5	2.28	18
family	158	7.5	1.79	5	2.64	6	1.86	331
famous	745	7.39	1.2	6.11	2.47	6.61	2.06	89
fantasy	746	7.39	1.5	6	2.45	6.72	1.93	14
farm	557	5.4	1.98	3.6	1.94	5.68	1.7	125
fascinate	159	7.13	2.23	6.07	2.6	5.67	1.63	3
fat	160	2.94	2.11	2.82	1.47	5.56	2.76	60
father	161	6.8	2.18	5.47	2.97	3.8	2.91	383
fatigued	162	3.56	1.26	2.69	1.99	4.35	2.21	3
fault	747	3.14	1.58	3.73	1.91	4.09	2	22
favor	748	6.58	1.54	4.89	1.91	5.44	1.89	78
fear	592	3.75	2.45	6.71	2.48	3.88	2.36	127
fearful	163	2.1	0.99	5.5	2.32	3.5	1.78	13
feeble	164	3.59	1.7	3.94	2.44	2.88	1.65	8
festive	749	7.26	1.33	6.63	2.14	5.67	2.4	2
fever	750	3.05	1.61	3.8	1.82	3.68	1.77	19
field	558	6.08	1.26	4.04	2.26	5.68	1.77	274
fight	751	4.81	2.73	6.9	2.36	5.71	2.39	98
filth	165	3.12	1.93	3.94	1.53	4.5	1.55	2
finger	752	5.29	1.42	4.05	2.16	5.24	2	40
fire	166	4.2	1.48	6.5	2.32	5.2	1.4	187
fireworks	513	7.8	1.12	6.56	2.16	5.56	2.06	5
fish	559	6.2	2.22	3.84	2.53	6.48	1.73	35
flabby	167	4.16	1.8	3.68	2.31	4.37	1.26	.
flag	753	5.9	1.89	5.4	2.19	5.65	1.98	16
flirt	754	7.48	1.03	6.9	1.64	6.45	2.06	1
flood	755	3.75	1.52	5.9	2.02	3.9	2.34	19
flower	168	6.06	1.53	4.6	2.23	4.73	1.75	23
foam	756	5.45	1.67	4.25	2.24	5.1	1.59	37
food	514	7.88	0.97	5.4	2.47	6.72	2.03	147
foot	757	5.06	0.8	3.5	1.86	5.17	1.72	70
fork	560	5.48	1.08	4.04	2.21	5.83	1.27	14
foul	169	2.94	1.14	5.18	2.53	4.71	1.69	4
fragrance	170	6.24	1.35	5.75	2.46	5.62	1.82	6
fraud	171	2.7	1.7	5.3	1.89	4.7	2.63	8
free	172	7.83	1.85	5.09	3.02	5.73	2.57	260
freedom	173	7.53	1.62	6.25	2.05	6.38	2.06	128
friend	174	7.18	1.07	6.38	1.96	6.25	2.02	133
friendly	175	8.29	0.99	4.77	2.42	6.15	2.48	61
frigid	758	3.44	1.34	4.61	2.62	4.44	1.85	5
frog	176	5.87	1.25	4.8	2.18	5.6	1.59	1
frustrated	177	2.7	1.56	5.55	2.61	3.7	1.98	10
fun	759	8.21	1.36	7.11	2	6.79	1.84	44
funeral	178	1.64	0.84	4	2.77	2.71	2.3	33
fungus	179	3.83	1.19	4.18	2.09	4.36	1.8	2
fur	180	5.5	1.68	3.55	2.38	4.82	2.14	13
game	760	7.58	0.77	6.32	2.11	5.74	1.82	123
gangrene	181	2.73	2.15	5.93	2.91	3.6	2.38	.
garbage	182	3.45	1.99	4.3	2.54	4.75	1.74	7
garden	761	6.43	1.91	4.76	2.26	6.19	1.54	60
garment	762	5.47	1.26	3.95	2.17	4.84	2.03	6
garter	534	6.92	1.53	6.08	2.14	6.04	1.54	2
gender	763	5.6	1.05	4.35	2.18	5.58	1.92	2
gentle	183	6.9	1.37	2.9	2.08	4.7	2.41	27
germs	764	2.9	1.3	4.29	2.24	3.9	1.51	1
gift	184	6.6	2.82	5.27	2.87	5.13	2.85	33
girl	185	7.6	1.57	5.85	2.52	5.85	1.98	220
glacier	186	5.67	1.18	4.53	1.85	4.8	1.97	1
glamour	187	6.13	1.77	4.6	2.23	5.6	2.23	5
glass	765	4.5	1.72	4.44	2.18	5.28	1.84	99
gloom	188	2.08	1.44	4.17	2.69	4	2	14
glory	189	7.4	1.59	6.13	2.39	7	2	21
god	190	8.35	1.18	6.1	2.86	5.85	3.15	318
gold	191	7.92	1	6.45	2.16	5.73	2.1	52
golfer	535	5.76	2.13	3.84	2.53	5.68	1.84	3
good	766	7.33	1.28	5.05	3.09	5.78	1.99	807
gossip	767	3.75	2.02	5.1	2.22	3.9	1.86	13
graduate	192	8	1.37	7.56	2.03	6.69	2.94	30
grass	768	5.85	1.27	4.85	1.93	5.55	1.39	53
grateful	193	7.33	0.82	4.27	1.75	6.2	1.61	25
greed	769	4.14	2.22	5.38	2.33	5.24	2.51	3
green	194	5.3	2	4.8	2.44	4.2	1.99	116
greet	770	6.95	1.47	5.29	1.98	6.24	1.84	7
grenade	771	3.9	1.92	5.48	2.54	4.76	2.34	3
grief	195	1.8	1.4	4.7	2.83	4.4	2.41	10
grime	772	3.95	1.18	4.37	2.31	4.72	1.41	.
grin	773	6.89	2.16	5.7	2.87	6.32	2	13
gripe	774	3.25	1.41	4.95	2.33	4.25	1.97	.
guillotine	196	4	2.45	6.25	2.77	5	1.95	.
guilty	197	2.75	1.29	5.05	2.8	3.5	1.7	29
gun	593	4.72	2.57	7.08	1.96	4.36	2.97	118
gymnast	515	6.44	1.73	4.48	2.28	5.32	1.86	1
habit	775	4.15	1.53	3.85	1.81	4.4	2.01	23
hairdryer	561	4.88	0.78	3.8	1.66	5.24	0.78	.
hairpin	776	5.4	1.57	3.5	2.48	5.11	1.56	1
hamburger	777	6.95	1.51	4.95	2.24	5.58	0.96	6
hammer	198	4.75	1.25	4.65	2.35	5.25	2.2	9
hand	778	5.84	1.34	4.6	2.16	5.84	1.42	431
handicap	779	3.62	2.06	3.68	2.46	4.14	2.56	6
handsome	199	7.5	1.51	4.42	2.87	5.58	2.87	40
haphazard	780	3.64	1.5	3.68	2.17	4.14	1.98	2
happy	200	8.25	1.39	7	2.73	6.73	2.28	98
hard	781	5.68	2	5.42	2.19	5.84	2.09	202
hardship	782	3	1.75	4.7	2.23	5.15	2.18	9
hat	783	5.58	1.39	4.53	2.12	5.47	1.5	56
hate	201	2.92	2.31	7.33	2.35	5.42	2.68	42
hatred	202	2.53	2.26	6.47	2.72	4.6	2.47	20
hawk	536	6.33	1.61	4.08	2.34	5.71	1.76	14
hay	784	5.19	1.63	4.81	2.75	5.81	1.89	19
headache	203	2.24	1.15	5.18	2.63	4.24	1.99	5
headlight	785	5.05	1.77	3.77	2.41	4.76	1.73	.
heal	786	6.71	1.23	4.86	1.9	5.29	1.59	2
health	204	6.93	1.33	5.33	2.79	5.87	1.77	105
heart	787	6.9	1.58	6.14	2.1	5.48	2.04	173
heaven	205	7.07	2.34	6.53	2.83	6.2	2.31	43
hell	788	2.85	1.69	4.65	2.37	3.9	2.36	95
helpless	206	2.2	1.21	4.87	2.59	2.53	1.88	21
heroin	789	3.85	2.35	4.45	2.98	4.2	2.55	2
hide	207	5.07	1.67	4.47	2.5	4.27	2.43	22
highway	562	6.04	1.67	4.8	2.6	5.64	1.98	40
hinder	790	3.86	1.64	4.09	1.93	4.18	1.68	.
history	208	6	1.79	4.12	2.18	5.19	2.07	286
hit	594	5.44	2.16	5.4	2.43	5.67	2.08	115
holiday	791	7.3	2.36	7.1	2.29	6.9	1.8	17
home	209	7.71	1.96	4.29	2.73	6.35	2.29	547
honest	210	7.21	1.53	5.71	1.44	5.21	2.19	47
honey	792	6.53	1.87	4.53	2.14	5.68	1.42	25
honor	211	7.6	1.18	6.13	1.51	6.14	2.35	66
hooker	793	4.53	2.46	6	2.13	6.11	2.23	.
hope	794	6.67	1.57	4.84	2.57	5.32	2.26	178
hopeful	212	7.07	1.03	6.27	1.22	5.47	1.92	12
horror	213	3.18	2.32	6.44	2.13	4.62	2.47	17
horse	214	5.6	0.97	3.5	1.78	4.2	1.32	117
hospital	215	5.05	1.85	5	2.41	4.8	1.67	110
hostage	216	2.25	1.59	5.5	3	3.2	2.46	2
hostile	217	3.33	1.63	6.8	2.04	5.73	2.96	19
hotel	795	6.67	1.41	5.26	2.66	5.33	2.06	126
house	563	7.29	1.55	4.04	2.58	6.38	1.84	591
hug	218	7.67	0.98	5.55	2.21	5.27	1.68	3
humane	796	6.17	1.76	4.83	1.34	5.67	1.57	5
humble	219	6	1.58	3.53	2.35	5.06	2.3	18
humiliate	797	2.2	1.15	6.35	2.3	2.9	1.92	.
humor	220	8.2	0.92	4.3	2.45	5.2	2.15	47
hungry	221	3.67	2.32	5.2	2.73	4.67	2.16	23
hurricane	798	4.19	2.34	6.67	2.15	3.76	2.07	8
