cold	693	4.14	2.08	5.00	2.56	4.73	1.75	171
color	694	7.00	1.54	4.82	2.63	6.05	1.70	141
column	695	5.18	0.66	3.55	1.82	4.41	1.37	71
comedy	77	8.57	0.90	5.61	3.12	5.74	2.09	39
comfort	696	7.61	1.97	3.74	2.80	5.70	2.08	43
computer	552	6.35	1.26	4.96	1.80	5.50	1.94	13
concentrate	78	5.39	1.34	4.61	2.37	5.04	1.89	11
confident	79	8.12	1.31	6.04	2.39	7.96	1.61	16
confused	80	3.17	1.80	6.27	1.86	4.18	2.08	44
consoled	81	5.85	1.66	4.20	2.38	4.15	1.84	2
contempt	82	3.72	2.23	5.41	2.31	5.00	1.89	15
contents	83	4.97	0.82	4.44	2.09	4.84	1.63	16
context	84	5.19	1.33	4.12	2.52	5.38	1.65	2
controlling	85	3.38	2.17	6.38	2.21	4.65	3.25	23
cook	697	6.24	2.30	4.62	2.14	4.92	1.53	47
cord	698	5.23	0.87	3.27	2.21	5.00	1.02	6
cork	699	5.27	0.94	3.73	2.41	5.05	1.13	9
corner	700	4.38	1.12	4.38	1.66	4.36	1.47	115
corpse	86	2.07	1.58	4.93	3.09	3.93	2.59	7
corridor	701	4.90	1.02	3.65	2.39	4.90	1.21	17
corrupt	702	2.52	1.81	4.52	2.20	4.41	2.40	8
cottage	87	6.83	1.70	2.87	2.42	5.70	1.87	19
couple	506	7.96	2.03	7.38	1.75	5.96	2.63	122
cow	554	5.42	1.45	3.85	2.11	4.84	1.68	29
coward	703	2.73	1.55	4.23	2.31	2.91	1.72	8
cozy	88	7.30	1.66	3.04	2.25	5.04	2.34	1
crash	89	2.21	1.42	6.93	2.53	3.24	2.25	20
crime	704	2.33	1.52	5.75	2.45	3.67	2.06	34
criminal	705	2.62	1.66	5.68	2.40	3.05	1.72	24
crisis	706	1.72	1.37	6.08	3.09	2.75	2.51	82
crown	90	6.73	1.43	4.62	2.47	6.42	2.08	19
crucify	91	2.09	1.75	6.78	2.18	3.72	2.67	2
crude	707	2.59	1.53	5.14	2.62	3.77	1.97	15
cruel	92	1.57	0.84	5.96	2.79	3.78	2.84	15
crushed	93	1.86	1.28	5.41	3.02	2.68	2.23	10
crutch	708	3.08	1.55	3.88	2.23	4.08	1.81	1
cuddle	94	8.15	1.60	3.70	2.52	5.95	2.61	.
cuisine	709	6.46	1.36	4.08	2.00	5.35	1.09	1
curious	95	5.82	1.70	5.82	1.49	5.32	1.49	46
curtains	710	4.68	0.99	3.68	1.73	5.00	1.66	8
custom	96	6.04	1.59	4.65	2.10	5.08	1.81	14
cut	711	3.58	2.26	5.21	2.21	4.54	1.84	192
cute	97	7.95	0.94	4.85	2.96	4.85	2.21	5
cyclone	98	3.00	2.40	6.48	2.90	4.72	2.78	.
dagger	99	2.60	1.26	6.58	2.44	4.56	2.55	1
damage	712	2.45	1.34	6.05	2.21	3.59	1.74	33
dancer	507	7.46	1.56	6.65	1.92	6.38	2.08	31
danger	713	1.85	1.29	7.42	2.34	2.92	2.08	70
dark	714	4.52	2.84	4.29	2.45	5.27	2.45	185
dawn	715	6.21	2.25	4.42	2.89	5.33	1.76	28
daylight	716	6.96	2.13	4.50	2.77	5.38	2.17	15
dazzle	717	7.24	1.14	6.27	2.07	6.05	1.28	1
dead	588	1.42	0.76	6.04	2.63	2.73	2.25	174
death	100	1.55	1.61	4.75	3.29	2.55	2.35	277
debt	101	2.12	1.21	6.46	2.52	3.04	2.18	13
deceit	718	2.57	1.60	6.00	2.24	3.33	2.18	2
decompose	102	2.62	1.68	5.00	2.37	3.69	1.85	1
decorate	719	7.32	1.13	5.52	1.81	6.19	1.72	2
defeated	103	2.28	1.79	5.65	3.14	3.19	2.55	15
defiant	104	4.11	2.23	6.41	2.34	6.11	2.67	3
deformed	720	1.85	1.39	4.55	2.46	3.60	1.88	.
delayed	721	3.00	1.51	6.09	2.52	3.86	2.21	25
delight	105	8.43	0.84	5.30	3.10	6.13	2.30	29
demon	106	1.39	1.03	7.32	2.34	4.78	3.16	9
dentist	589	4.46	2.20	5.85	1.67	4.00	2.30	12
depressed	107	1.58	1.36	5.06	3.18	2.68	2.34	11
depression	108	1.27	0.72	4.54	3.35	2.92	2.45	24
derelict	722	4.10	1.77	4.09	2.18	4.62	1.40	1
deserter	109	1.90	1.32	5.86	2.63	3.24	2.13	.
desire	508	7.65	1.50	7.46	1.63	6.77	1.70	79
despairing	110	2.19	1.06	5.72	2.39	3.12	2.01	4
despise	111	2.00	1.50	6.52	2.49	4.38	2.97	7
destroy	112	2.12	1.42	7.04	2.18	4.50	2.93	48
destruction	723	2.04	1.71	5.58	2.86	3.12	2.14	38
detached	113	3.88	1.82	4.31	2.65	3.58	2.32	12
detail	724	5.35	1.69	3.80	2.12	4.95	1.61	72
detest	114	1.92	1.13	6.15	2.49	5.85	2.81	1
devil	115	1.96	1.91	6.76	2.33	5.04	2.85	25
devoted	116	7.52	1.35	5.07	2.34	6.62	2.13	51
diamond	117	7.92	1.13	5.80	2.97	5.64	2.02	8
dignified	118	7.29	1.40	4.62	2.41	6.15	2.39	7
dinner	509	6.85	1.71	5.35	1.90	5.73	1.91	91
diploma	119	8.18	1.50	5.68	3.09	6.95	2.55	.
dirt	725	3.90	1.59	4.15	2.16	4.70	0.98	43
dirty	590	2.35	1.26	4.58	1.77	4.58	1.75	36
disappoint	120	2.26	1.42	5.13	2.72	3.13	2.44	.
disaster	121	1.20	0.52	6.60	2.89	3.40	2.89	26
discomfort	726	1.95	0.83	4.65	2.56	4.05	1.90	7
discouraged	122	3.00	2.68	4.87	1.94	3.87	2.26	15
disdainful	123	3.56	2.00	5.22	2.30	4.41	1.98	2
disgusted	124	2.35	1.40	6.04	2.51	4.04	2.08	6
disloyal	125	1.65	1.65	7.04	1.78	3.15	2.77	2
displeased	126	2.81	2.32	6.15	2.43	3.85	2.27	7
distressed	127	1.91	1.28	6.39	2.54	3.17	2.44	4
