Word	Havg	StDev	FreqListRank	TwitterRank
cantikk	342	7.12	1.6860	--	5767
memeluk	343	7.10	1.1294	5458	--
kebebasan	344	7.10	1.1112	1613	--
manis	345	7.10	0.9091	614	740
family	346	7.10	1.4463	--	1811
segar	347	7.10	1.3887	1675	--
pelukan	348	7.10	1.0926	4348	4651
wkwkwkrt	349	7.10	1.6194	--	4253
favoritku	350	7.10	1.1650	4660	--
favorite	351	7.10	1.2164	--	1911
win	352	7.10	1.6568	--	2228
penyelamat	353	7.10	1.2330	2747	--
menawan	354	7.10	1.0351	5658	--
tampan	355	7.10	1.2330	1441	4771
permata	356	7.10	1.3439	5294	--
ƗƗɑƗƗɑ	357	7.10	1.3740	--	5909
aamiin	358	7.10	1.7053	--	4481
bersih	359	7.10	1.0351	964	2863
pelangi	360	7.10	1.0351	6187	3121
good	361	7.08	1.2752	1309	266
traktir	362	7.08	1.0850	--	2091
friend	363	7.08	1.3529	--	1311
aminn	364	7.08	1.4961	--	2949
kelahiran	365	7.08	1.2262	3719	--
jalan-jalan	366	7.08	1.1925	--	5533
sopan	367	7.08	0.8999	1861	3332
meluk	368	7.08	1.1925	--	5466
menyelamatkan	369	7.08	0.9864	487	--
friends	370	7.08	1.3827	--	350
pinter	371	7.08	1.0660	--	1065
gaji	372	7.08	1.4119	3703	4149
kreatif	373	7.08	1.0850	6055	2745
adil	374	7.06	1.3001	1106	2691
sunrise	375	7.06	1.4902	--	5512
hehhe	376	7.06	1.3911	--	4470
hihihi	377	7.06	1.2683	--	1437
panen	378	7.06	1.4626	4991	--
kagum	379	7.06	1.3001	5364	--
menyukainya	380	7.06	1.3001	842	--
bersinar	381	7.06	1.0956	2476	6082
sunday	382	7.06	1.5440	--	2266
god	383	7.06	2.1132	2142	658
positif	384	7.06	1.0768	3027	2285
kebenaran	385	7.06	1.1851	920	4512
abadi	386	7.06	1.1851	2370	3644
ikhlas	387	7.06	1.4902	--	1564
mantap	388	7.06	1.1851	5102	1282
wkaka	389	7.04	1.7019	--	4962
luck	390	7.04	1.0872	2823	1368
ideal	391	7.04	1.2115	--	6064
isteriku	392	7.04	1.2930	3989	--
berpesta	393	7.04	1.5113	4772	--
berkat	394	7.04	1.1773	3495	4754
bersantai	395	7.04	1.1599	4940	--
keabadian	396	7.04	1.3087	5292	--
cute	397	7.04	0.9889	4622	2283
inspirasi	398	7.04	1.1058	4885	4648
mommy	399	7.04	1.4136	2967	5750
bermanfaat	400	7.04	1.0872	--	4375
pacarku	401	7.04	1.3087	2354	3266
pesta	402	7.04	1.3242	572	2888
terkesan	403	7.04	1.0294	2714	--
menolong	404	7.04	1.3395	1512	--
langgeng	405	7.04	1.2447	--	2717
populer	406	7.02	1.1865	4511	--
bagusnya	407	7.02	1.2036	5772	--
menikmatinya	408	7.02	1.1156	3615	--
cium	409	7.02	1.2204	2406	1868
suci	410	7.02	1.3476	1435	3858
pemenangnya	411	7.02	1.2370	6144	--
traktiran	412	7.02	1.2204	--	5328
super	413	7.02	1.3169	1349	671
makasihh	414	7.02	1.1337	--	4925
wkwkk	415	7.02	1.6720	--	3593
awards	416	7.02	1.3323	--	5199
kejutan	417	7.02	1.3013	1241	4892
keikhlasan	418	7.02	1.4356	--	6110
gratisan	419	7.02	1.6098	--	5638
milyar	420	7.02	1.4637	4515	--
mempercayaiku	421	7.02	0.9145	5091	--
amal	422	7.02	1.4213	5551	3750
lembut	423	7.02	1.1337	1575	4006
setuju	424	7.00	1.1606	656	1130
membaik	425	7.00	1.2122	5120	--
persaudaraan	426	7.00	1.2617	5111	--
baik-baik	427	7.00	1.0498	--	4835
paris	428	7.00	1.1429	1353	3301
kasih	429	7.00	1.1780	77	256
hehe	430	7.00	1.1429	--	101
kebaikanmu	431	7.00	1.1249	6072	--
berciuman	432	7.00	1.7261	6068	--
wow	433	7.00	1.3851	483	950
senanglah	434	7.00	1.1249	5242	--
canggih	435	7.00	1.0102	5239	--
thank's	436	7.00	1.2936	--	2331
santai	437	7.00	0.9897	1306	1529
seru	438	6.98	1.3626	--	615
money	439	6.98	1.3923	--	2346
terhormat	440	6.98	1.1156	2127	--
asik	441	6.98	1.4356	--	453
keberanian	442	6.98	1.3323	1614	--
diskon	443	6.98	1.1692	--	3950
kebijaksanaan	444	6.98	1.2856	5488	--
kenyang	445	6.98	1.0784	--	1589
imut	446	6.98	1.3013	--	1510
better	447	6.98	1.2036	--	1458
pemberani	448	6.98	0.9792	3669	--
medali	449	6.98	1.2036	3273	--
harapan	450	6.98	1.3013	962	877
berharga	451	6.98	1.2036	1074	2239
becanda	452	6.98	1.0200	--	3094
christmas	453	6.98	1.5971	3826	486
kehidupan	454	6.98	1.4637	390	1090
