Word	Havg	StDev	FreqListRank	TwitterRank
이쁜	375	6.56	1.0721	3589	1532
ㅎㅎ	376	6.56	1.1457	--	20
추수감사절을	377	6.54	1.0144	1254	--
가족이야	378	6.54	1.2488	4897	--
ㅋㅋㅋㅋ난	379	6.54	1.1817	--	6018
haha	380	6.54	1.4028	--	2955
편하게	381	6.54	0.9082	4702	1116
맛나게	382	6.54	0.9082	--	3518
즐기는	383	6.54	1.1466	2835	3130
푹신한	384	6.54	1.0539	1812	--
자유가	385	6.54	1.0730	--	5198
특별해요	386	6.54	1.0919	3656	--
초콜릿	387	6.54	1.0730	--	4996
한국의빛	388	6.54	1.3280	--	4890
개그	389	6.54	1.1287	--	6145
헤헤헤	390	6.54	1.2969	--	4772
아이스크림	391	6.54	1.0730	--	2651
와우	392	6.54	1.3280	1068	810
훈훈한	393	6.54	1.1104	--	4693
맛난	394	6.54	1.1817	--	5755
우아한데다	395	6.52	1.0925	4279	--
주말	396	6.52	1.3130	1397	1184
방학	397	6.52	1.4602	--	2266
추수감사절	398	6.52	1.1648	679	--
힘내세요	399	6.52	1.1822	--	922
좋겠네요	400	6.52	0.8862	--	2678
안전합니다	401	6.52	1.1110	4960	--
프리미엄	402	6.52	1.1993	--	5464
케익	403	6.52	1.1993	--	4129
좋습니다	404	6.52	1.1471	715	1990
호호	405	6.52	1.1110	--	5305
오케이	406	6.52	1.1993	1836	4983
힘차게	407	6.52	0.9739	--	5436
여행하는	408	6.52	1.2816	3326	--
상품권	409	6.52	1.0925	--	2254
통과	410	6.52	1.3285	--	2920
ㅋㅋ	411	6.52	0.9739	--	2
굿나잇	412	6.52	1.1292	--	2463
봄	413	6.52	1.2656	--	3412
고급	414	6.52	1.2974	--	5479
쿨하게	415	6.52	0.9528	--	4243
우와	416	6.52	0.9089	3336	259
긍정적으로	417	6.50	1.1824	3755	--
잘생긴	418	6.50	0.9742	1996	4015
개그콘서트	419	6.50	1.3286	--	3266
merry	420	6.50	1.3740	--	6351
좋아졌어	421	6.50	0.8631	2488	--
추수감사절은	422	6.50	1.1473	1735	--
피자	423	6.50	1.0152	--	2099
영화	424	6.50	1.1650	1742	408
ㅋㄷㅋㄷ	425	6.50	0.9949	--	6133
친구들은	426	6.50	1.2164	3060	--
은혜를	427	6.50	1.0351	2406	--
아싸	428	6.50	1.4033	--	1756
사랑했다	429	6.50	1.4604	3314	--
영웅	430	6.50	1.2330	4651	--
최선을	431	6.50	1.1112	955	1928
new	432	6.50	0.9091	--	1028
강아지	433	6.50	1.2817	--	3485
굿밤	434	6.50	1.2164	--	1395
오~	435	6.50	1.0351	--	2811
영원히	436	6.50	1.1473	665	1164
안전해	437	6.50	1.2164	4926	--
밝으면	438	6.50	0.9091	4575	--
냠냠	439	6.48	1.2329	--	3026
용기를	440	6.48	0.7624	--	4635
잘자	441	6.48	1.0544	--	1181
응ㅋㅋ	442	6.48	1.0349	--	2020
꿈	443	6.48	1.0925	--	1138
좋은일만	444	6.48	1.0544	--	5045
잘하는	445	6.48	1.1471	--	2705
좋은	446	6.48	0.9528	23	49
소원	447	6.48	1.1822	1907	5164
승리하거든	448	6.48	1.0150	4358	--
동감	449	6.48	1.0925	--	4540
친구	450	6.48	1.0925	69	455
순수한	451	6.48	1.2656	3267	4475
새로운	452	6.48	1.0150	447	238
믿어요	453	6.48	1.0544	3360	--
좋겠다	454	6.48	1.0349	2669	374
보석을	455	6.48	1.2162	3199	--
아가	456	6.48	1.1648	1789	--
케이크	457	6.46	1.0144	--	3583
되세요^^	458	6.46	1.1643	--	4898
달성	459	6.46	1.3881	--	3060
아자아자	460	6.46	1.2157	--	4159
힘내	461	6.46	1.0343	--	1301
이겼어	462	6.46	1.1104	3504	--
수고하셨습니다	463	6.46	0.9304	--	5357
기적을	464	6.46	1.2488	3611	--
아늑해	465	6.46	1.0343	4710	--
고마울	466	6.46	0.8855	2815	--
친구야	467	6.46	0.9304	2658	--
치킨	468	6.46	1.2324	--	2219
뽀로로	469	6.46	1.0730	--	4443
좋죠	470	6.46	1.1287	--	5038
두근두근	471	6.46	1.2969	--	3273
신선하군	472	6.46	1.0144	4857	--
웃겨	473	6.46	1.1988	--	2632
좋고	474	6.46	0.9941	1623	1353
엄마와	475	6.46	1.3433	515	--
우리딸	476	6.46	1.3881	4695	--
선물해	477	6.46	1.1466	--	4395
스페셜	478	6.46	1.1988	--	3331
일요일	479	6.46	1.4028	--	1925
말끔하네요	480	6.46	1.0343	4731	--
한글	481	6.46	1.3734	--	3942
즐기고	482	6.46	1.0730	--	6321
좋겠어요	483	6.46	1.1287	1677	1850
상상	484	6.46	1.1287	2986	4519
커피	485	6.44	1.2643	1007	835
응원하고	486	6.44	0.9723	--	5097
약속	487	6.44	1.0134	678	1945
최대	488	6.44	1.0721	2912	927
완벽하게	489	6.44	1.3273	2922	--
꿈이	490	6.44	1.3273	--	2945
좋겠어	491	6.44	1.0721	2982	4152
좋았소	492	6.44	1.0529	5017	--
영원한	493	6.44	1.1808	2631	3146
짱	494	6.44	1.3426	--	520
친하게	495	6.44	1.1095	--	1258
감사할	496	6.44	1.1808	1774	--
엄마는	497	6.44	1.3577	797	2853
결혼할	498	6.44	1.2149	1700	--
뷰티	499	6.44	0.9293	--	1651
젊은	500	6.44	1.2480	655	1468
엄마	501	6.44	1.3577	267	516
무료에요	502	6.44	0.9723	--	5395
대한민국	503	6.44	1.4591	--	327
마음껏	504	6.44	1.1980	--	5703
아빠	505	6.44	1.3426	95	1105
허허허	506	6.42	1.1622	--	5635
Super	507	6.42	1.0897	--	4383
[이벤트]	508	6.42	1.2304	--	690
롯데월드	509	6.42	1.2304	--	3295
아기가	510	6.42	1.1265	709	--
나눔	511	6.42	1.2469	--	6014
yes	512	6.42	1.2137	--	5519
웃긴	513	6.42	1.4859	--	6223
스타	514	6.42	1.1622	--	3722
보석의	515	6.42	1.0708	2976	--
믿음이	516	6.42	1.0708	--	5760
별	517	6.42	1.2304	--	670
아기	518	6.42	1.3262	523	5459
히히	519	6.42	0.9916	--	453
페스티발을	520	6.42	1.1082	--	6337
ㅋㅋㅋ난	521	6.42	1.1445	--	4012
재밌구만	522	6.42	1.1622	5154	--
새해가	523	6.42	1.2137	--	3998
정품	524	6.42	1.2469	--	4866
깔끔하고	525	6.40	1.0690	4874	--
괜찮을거야	526	6.40	0.9897	518	--
꿈을	527	6.40	1.0880	2007	990
완료	528	6.40	1.2289	1914	1701
새해에도	529	6.40	1.2289	--	6220
빙고	530	6.40	1.0302	2249	5349
새해를	531	6.40	1.2454	--	4285
충분한	532	6.40	1.1066	1798	--
이겼고	533	6.40	1.1952	--	4625
경품	534	6.40	1.3702	--	5016
어머니는	535	6.40	1.3401	1807	--
가족에게	536	6.40	1.2122	--	3205
공감	537	6.40	1.1066	--	1565
대단	538	6.40	1.0302	3353	--
베이비	539	6.40	1.1429	1366	--
생일을	540	6.40	1.1429	--	5380
잘부탁드려요	541	6.40	1.1066	--	4348
웃을	542	6.40	0.9258	--	5476
아기를	543	6.40	1.1249	605	--
안전하다	544	6.40	1.0302	4803	--
좋은데	545	6.38	0.9452	3341	698
아기는	546	6.38	1.2103	2968	--
무료	547	6.38	1.2599	--	1288
엄마가	548	6.38	1.3384	439	396
형제	549	6.38	1.1761	525	--
좋을	550	6.38	1.0079	638	2230
좋으면	551	6.38	0.8545	--	5178
추억	552	6.38	1.2271	--	5718
내친구	553	6.38	1.1229	--	5573
희망도	554	6.38	1.1586	5001	--
음악을	555	6.38	1.0669	--	3052
감사해야	556	6.38	1.1761	4614	--
초대	557	6.38	0.9010	--	4098
웃겼던	558	6.38	1.2760	4401	--
가족과	559	6.38	1.2760	573	4144
다행이네	560	6.38	0.9875	2746	--
앜ㅋㅋㅋㅋ	561	6.38	1.6523	--	6101
뮤지컬	562	6.38	1.0859	--	2231
가득한	563	6.38	1.2103	--	3252
morning	564	6.38	1.0079	--	5364
할인	565	6.38	1.0859	--	1959
특별	566	6.38	1.1933	--	5043
받아가세요~	567	6.38	1.1229	--	2905
할수있어	568	6.38	1.1409	2983	--
하핫	569	6.38	1.0079	--	3169
특별한	570	6.38	1.2103	1018	964
오늘의유머	571	6.38	0.9234	--	1467
인기	572	6.38	1.1933	--	1212
보고싶어요	573	6.36	1.3056	--	5278
금	574	6.36	1.2898	--	5586
돈	575	6.36	1.3516	--	304
좋아보인다고	576	6.36	1.1739	4255	--
단골	577	6.36	0.9848	3514	--
안전하게	578	6.36	1.0645	2973	--
새해에는	579	6.36	1.1205	--	2734
고맙단	580	6.36	0.8981	4751	--
와아	581	6.36	1.0451	--	6208
가득	582	6.36	1.3815	1413	2381
괜찮다	583	6.36	1.0254	--	4671
커피를	584	6.36	1.1563	--	3830
방송함께봐요~	585	6.36	0.7762	--	1113
키스한	586	6.36	1.2415	5377	--
엄마의	587	6.36	1.4813	2836	--
인천공항	588	6.36	1.2249	--	2034
very	589	6.36	1.1739	--	2673
공짜로	590	6.36	1.3211	--	2909
Korea	591	6.36	1.4107	--	2408
1억	592	6.36	1.4813	--	2627
디즈니	593	6.34	1.3188	--	5642
금요일	594	6.34	1.3032	--	895
춤	595	6.34	1.1178	--	3879
친구들	596	6.34	1.2224	619	2081
치즈	597	6.34	1.1713	2807	--
우아	598	6.34	1.0224	--	2830
초대합니다	599	6.34	1.1537	--	985
이벤트	600	6.34	1.1359	--	99
마음	601	6.34	1.1886	1248	575
옳아요	602	6.34	1.0224	2278	--
현금	603	6.34	1.3793	1333	--
신속정확	604	6.34	0.9172	--	5825
획득	605	6.34	1.1886	--	4803
와~	606	6.34	1.0022	--	5199
떡볶이	607	6.34	1.0022	--	4103
아버지	608	6.34	1.4792	313	1816
스마트한	609	6.34	0.9817	--	2681
