Word	Havg	StDev	FrqList
आसन	345	6.92	1.4686	4753
अमिताभ	346	6.92	1.5628	4203
खेतों	347	6.92	1.2591	4356
नायक	348	6.92	1.3529	2137
सहमति	349	6.92	1.1753	2458
राखी	350	6.92	2.0388	5961
सितारे	351	6.92	1.5628	5723
विशेषता	352	6.92	1.7710	978
बॉलीवुड	353	6.90	1.6933	4535
वैभव	354	6.90	1.5152	5329
उपयोग	355	6.90	1.3439	252
गोदावरी	356	6.90	1.4604	7256
संतोष	357	6.90	1.7053	5750
ताज	358	6.90	1.7642	5499
हिनदुसतान	359	6.90	2.2246	3985
खेलने	360	6.90	1.5419	3385
शतक	361	6.90	1.5682	8292
रुपया	362	6.90	1.7525	8415
अधिक	363	6.90	1.6568	152
नागरिक	364	6.90	1.3439	1198
अभिनेता	365	6.90	1.6320	997
नौकरी	366	6.90	1.5419	2342
पावन	367	6.90	1.7409	5920
सही	368	6.90	1.5017	649
देवताओं	369	6.90	1.8544	1736
नवजात	370	6.90	1.4033	5252
मीठी	371	6.90	1.5286	8867
अनोखे	372	6.90	1.5940	9075
मामा	373	6.90	1.5551	6921
दोसती	374	6.90	1.7053	5301
सजाया	375	6.90	1.4880	5968
माधुरी	376	6.90	1.7053	7156
पौधों	377	6.90	1.5551	2026
करोडों	378	6.90	1.7291	5543
टॉप	379	6.90	1.6690	4467
वरदान	380	6.90	1.4321	4825
पढाई	381	6.90	1.6690	1927
सागर	382	6.90	1.4880	958
कामना	383	6.90	1.5152	4415
गाते	384	6.90	1.3740	5707
जीने	385	6.88	1.6492	4164
कविता	386	6.88	1.3346	1076
हाथी	387	6.88	1.5070	2624
शिशु	388	6.88	1.7571	3049
संगीतकार	389	6.88	1.4934	2324
सालगिरह	390	6.88	1.6243	9001
विकसित	391	6.88	1.6117	417
साफ	392	6.88	1.5862	1338
कमाया	393	6.88	1.6738	8372
कलाकार	394	6.88	1.5070	273
सुविधाओं	395	6.88	1.5471	2058
शादी	396	6.88	2.1058	1488
जवान	397	6.88	1.5471	5211
कैलाश	398	6.88	1.6980	6469
देखभाल	399	6.88	1.3944	2209
आदर	400	6.88	1.6117	3252
संगम	401	6.88	1.4797	2409
अनुकूल	402	6.88	1.6492	1448
नारंगी	403	6.88	1.2558	4562
फल	404	6.88	1.5205	1138
बाग	405	6.88	1.4658	3066
झंडा	406	6.88	1.5205	8265
मीठे	407	6.88	1.5338	5283
चाँदनी	408	6.88	1.7219	9655
सेवा	409	6.88	1.4797	406
किताबों	410	6.88	1.6492	4713
साहसिक	411	6.88	1.5862	6094
आशीष	412	6.88	1.5990	7422
मारुति	413	6.88	1.6117	7581
देशों	414	6.86	1.8518	430
विजेताओं	415	6.86	1.8845	4890
बेहतर	416	6.86	1.4984	893
खूब	417	6.86	1.4429	2612
मेहमान	418	6.86	1.6661	8410
भाइयों	419	6.86	1.6783	3889
गॉड	420	6.86	2.0103	9999
सरसवती	421	6.86	2.0305	2163
वेबसाइट	422	6.86	1.5780	2024
खानपान	423	6.86	1.4984	9167
गोलडन	424	6.86	1.6904	4135
फसलें	425	6.86	1.6783	6245
वीर	426	6.86	1.4709	2157
नीलकंठ	427	6.86	1.7614	9525
फायदे	428	6.86	1.4848	6847
खाना	429	6.86	1.4984	1972
कमपयूटर	430	6.86	1.9167	2340
अनुभव	431	6.86	1.3704	782
बेटा	432	6.86	1.5120	3022
गुरुओं	433	6.86	1.7025	9896
देहरादून	434	6.86	1.5909	3632
गाना	435	6.86	1.7498	3987
गीतों	436	6.86	1.6289	2901
पसंदीदा	437	6.86	1.7025	2902
नारियल	438	6.86	1.5520	6207
सुर	439	6.86	1.4984	6369
कॉमिक	440	6.86	1.6164	8668
आसमान	441	6.86	1.4984	5137
पढने	442	6.86	1.2779	1877
नदियाँ	443	6.86	1.7958	4431
ईमानदारी	444	6.86	1.9589	6539
बालक	445	6.86	1.5254	2642
नाना	446	6.86	1.6538	3072
इमारतों	447	6.86	1.7498	3101
ऋषि	448	6.84	1.6581	1644
तयोहारों	449	6.84	1.9832	7816
चिकनी	450	6.84	1.5954	6665
गौरी	451	6.84	1.7654	5615
देशभर	452	6.84	1.4758	8390
खेलना	453	6.84	1.6946	7386
तैयार	454	6.84	1.2675	394
ऋषिकेश	455	6.84	1.6333	8307
जिंदगी	456	6.84	1.5954	3656
ताकत	457	6.84	1.7422	3679
सुधारक	458	6.84	1.4194	7374
गोविनदा	459	6.84	1.7538	7616
वासुदेव	460	6.84	1.7538	8420
शरीफ	461	6.84	1.4479	8123
मजेदार	462	6.84	1.8556	9930
पेरिस	463	6.84	1.6826	2588
गाय	464	6.84	1.2675	2780
हंस	465	6.84	1.3903	4964
सावन	466	6.84	1.6333	8880
दान	467	6.84	1.6581	1733
मधुबाला	468	6.84	1.7769	8516
ऑसकर	469	6.84	1.7769	6180
शिवजी	470	6.84	1.7769	8647
उपासक	471	6.84	1.4337	7553
पैसे	472	6.84	1.8223	2822
कहानियों	473	6.84	1.4896	2967
गुलशन	474	6.84	1.3149	4208
अनुभवी	475	6.84	1.3756	4086
बहुमत	476	6.84	1.4049	3410
तरंगों	477	6.84	1.6208	5847
मुनाफे	478	6.84	1.8446	9246
धूम	479	6.84	1.4758	7056
राजशाही	480	6.82	2.0172	3768
लाभों	481	6.82	1.7225	8174
जिंदा	482	6.82	1.3805	7095
एकसाथ	483	6.82	1.5345	9983
निवास	484	6.82	1.3656	1004
एनिमेशन	485	6.82	1.5868	9720
बगीचा	486	6.82	1.5345	9841
अनुभवों	487	6.82	1.2887	4147
चमक	488	6.82	1.5739	2845
परिवारों	489	6.82	1.3354	2728
छुटटी	490	6.82	1.7577	4914
मेहनत	491	6.82	1.3805	3965
रंगीन	492	6.82	1.6123	3232
सीताराम	493	6.82	1.7692	9624
भाषाएँ	494	6.82	1.6374	2987
अनाज	495	6.82	1.6622	3522
